candidates preference to courses:
candidate      course2      course4      course1      course0      course3
candidate70  Unqualified          0.5          0.4          0.8          0.8
candidate71  Unqualified          0.9          0.5          0.5  Unqualified
candidate72          0.7          0.5          0.1          0.2          0.6
candidate73          0.3          0.7          0.9            0          0.8
candidate74          0.4          0.7          0.6          0.1  Unqualified
candidate75  Unqualified          0.4  Unqualified          0.7  Unqualified
candidate76          0.8          0.3  Unqualified          0.1          0.1
candidate77  Unqualified          0.6          0.3          0.5          0.8
candidate78          0.1          0.9  Unqualified  Unqualified          0.1
candidate79          0.9          0.6          0.1          0.9          0.9
candidate80          0.2          0.3            0          0.1          0.5
candidate81          0.5          0.7          0.9            0            0
candidate82            1            0          0.8          0.5          0.6
candidate83          0.7          0.9          0.5          0.5  Unqualified
candidate84          0.3            0          0.6  Unqualified            0
candidate85  Unqualified          0.3          0.1  Unqualified  Unqualified
candidate86          0.3  Unqualified          0.7          0.2          0.6
candidate87          0.2          0.2  Unqualified          0.6          0.7
candidate88  Unqualified          0.9          0.9  Unqualified            0
candidate89          0.6          0.9            1          0.3  Unqualified
candidate90          0.1          0.5          0.7          0.9          0.5
candidate91          0.4          0.7          0.2          0.5  Unqualified
candidate92          0.9  Unqualified          0.6          0.8          0.6
candidate93          0.4          0.9          0.5          0.8          0.2
candidate94  Unqualified          0.5          0.2          0.3          0.1
candidate95  Unqualified          0.8          0.6          0.9          0.4
candidate96          0.9          0.1            0          0.4  Unqualified
candidate97  Unqualified            0          0.8          0.8          0.3
candidate98            1          0.6          0.6  Unqualified          0.7
candidate99          0.4          0.4          0.5  Unqualified          0.2

courses capacity and preference to candidates:
course capacity  candidate16  candidate59  candidate65  candidate92  candidate38  candidate74  candidate53  candidate93  candidate27  candidate99  candidate56   candidate4  candidate77   candidate7  candidate11  candidate86  candidate24  candidate73  candidate60   candidate9  candidate90  candidate19  candidate69  candidate25   candidate3  candidate68  candidate96  candidate23  candidate47  candidate43  candidate89  candidate33   candidate0  candidate39  candidate18  candidate42  candidate80  candidate88  candidate32  candidate72  candidate71  candidate95  candidate87  candidate10  candidate79  candidate51  candidate22  candidate14  candidate34  candidate41  candidate91  candidate84  candidate26  candidate44  candidate98   candidate2  candidate97  candidate21  candidate62  candidate85  candidate46  candidate36  candidate57  candidate35  candidate83  candidate94  candidate61   candidate1  candidate64  candidate31  candidate67  candidate49  candidate45   candidate5  candidate13  candidate28  candidate50  candidate40   candidate8  candidate63  candidate81  candidate17  candidate78  candidate37  candidate54  candidate76  candidate58  candidate70  candidate66  candidate52  candidate55  candidate82  candidate48  candidate75  candidate20  candidate12  candidate15  candidate29  candidate30   candidate6
course0        2          0.6          0.1  Unqualified          0.5          0.3          0.1          0.3          0.1  Unqualified  Unqualified            1          0.5          0.3          0.9          0.9          0.7          0.6          0.2          0.7            1          0.1          0.3          0.1          0.2          0.3            1          0.1          0.8          0.6          0.9          0.8          0.7  Unqualified          0.3          0.6          0.6          0.4  Unqualified  Unqualified          0.2          0.9          0.6          0.4          0.3          0.7          0.4  Unqualified          0.0          0.7          0.1          0.6  Unqualified          0.2          0.6  Unqualified          0.4          0.2          0.1  Unqualified  Unqualified          0.8          0.8          0.5          0.4          0.7          0.1  Unqualified            0          0.1          0.3  Unqualified          0.3          0.4          0.5  Unqualified          1.0  Unqualified          0.3  Unqualified  Unqualified          0.7          0.6  Unqualified          0.1  Unqualified          0.4          0.1          0.9          0.5  Unqualified  Unqualified          0.0  Unqualified          0.1          0.1          0.1          0.7          0.9          0.1          0.8
course1        2  Unqualified          0.0  Unqualified          0.3          0.6          0.2            1          0.5          0.7          0.8          0.6          0.4          0.4          0.9  Unqualified          0.3  Unqualified          1.0          0.3          0.3          0.9          0.5  Unqualified  Unqualified          0.6          0.7          0.6          0.1            0  Unqualified          0.2          0.9          0.6          0.5          0.3          0.3          0.2          0.9          0.2          0.3          0.9            0  Unqualified  Unqualified          0.8          0.4          0.7          0.4          0.8          0.6          0.9          0.7          0.9          0.3          0.2          0.3          0.6          0.1          0.8          0.2          0.3          0.5          0.2          0.0          0.6          0.8  Unqualified          0.6          0.2          0.9  Unqualified            1          0.1          0.2  Unqualified          0.6          0.6            1          0.4  Unqualified          0.8          1.0  Unqualified          0.6          0.7  Unqualified  Unqualified          0.9          0.1          0.5          0.9          0.2          0.8  Unqualified  Unqualified          0.0          0.4          0.7  Unqualified          0.6
course2        1          0.1          0.9  Unqualified          0.4  Unqualified          0.2  Unqualified          0.4          0.4          0.9          0.1  Unqualified  Unqualified  Unqualified          0.8          0.2  Unqualified          0.1          0.7          0.2          0.3          0.1          0.1          0.9          0.4          0.2          0.9          0.7  Unqualified          0.4          0.3  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.8          0.6  Unqualified  Unqualified          0.4  Unqualified          0.3          0.9          0.4          1.0          1.0          0.9          0.9          0.4          0.5          0.1            0  Unqualified  Unqualified          0.4          0.7  Unqualified          0.9          0.7  Unqualified          0.9          0.7  Unqualified          0.4          0.9          0.6          0.1  Unqualified          0.3  Unqualified          0.1  Unqualified          0.4  Unqualified  Unqualified            1          0.9          0.6          0.4          0.5  Unqualified  Unqualified          0.9          0.4  Unqualified          0.3          0.9          0.2          0.0          0.7  Unqualified          0.6          0.1          0.3          0.5          0.8  Unqualified
course3        4          0.7          0.4          0.6          0.8  Unqualified  Unqualified          0.1          0.3          0.6          0.7          0.2          0.3          0.7          0.4          0.2          0.6          0.3          0.9          0.9          0.1          0.6          0.6          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.1  Unqualified          0.6          0.4  Unqualified          0.8          0.2          0.7          0.6          0.4          0.2  Unqualified          0.5          0.8          0.6          0.8          0.2          0.8          0.4          1.0          0.4  Unqualified          0.1          1.0          0.7          0.3  Unqualified          0.2          0.7            1  Unqualified          0.7          0.9          0.7          0.8  Unqualified          0.5          0.3          0.9          0.7          1.0          0.5          0.5          0.4  Unqualified  Unqualified          0.1          0.6          0.5          0.4          0.8          0.4          0.7          0.5  Unqualified          0.3          0.2          0.2          0.2          0.2          0.7          0.4          0.5  Unqualified  Unqualified          0.1          0.3            0          0.3          0.5  Unqualified
course4        4          0.3          0.7          0.6  Unqualified            0          0.5          0.8          0.7          0.8          0.3  Unqualified  Unqualified          0.6          0.2          0.3  Unqualified            0          0.5          0.2  Unqualified          0.7          0.2          0.9          0.6  Unqualified          0.8          0.1          0.2          0.1  Unqualified            1          0.2          0.3          0.2          0.3            1          0.9          0.4          0.1          0.8          0.8          0.4          0.5          0.7          0.7          0.3          0.7          0.5          0.6          0.3          0.2          0.3          0.7          0.0          0.9          0.6          0.2          0.7          0.6            1  Unqualified          0.2            1          0.2          0.8          0.4          0.3  Unqualified          0.8          0.1          0.4  Unqualified  Unqualified          0.3          0.8          0.1  Unqualified          0.4  Unqualified  Unqualified          0.5          0.9          0.8          0.5  Unqualified          0.4            0          0.7          0.0          0.1          0.9          0.4          0.7          0.5          0.5          0.4  Unqualified          0.6  Unqualified          0.4

Final TA assignment:
course2:,candidate8
course4:,candidate85, candidate89, candidate57, candidate42
course1:,candidate73, candidate49
course0:,candidate9, candidate28
course3:,candidate26, candidate31, candidate62, candidate34

Score for assignment: 20.9
Percentage of courses get top 3 choice of candidates: 100.0
Percentage of candidates get top 3 choice of courses: 73.33
