candidates preference to courses:
candidate     course10      course3      course7      course5      course1     course14      course8     course11     course12      course0      course2      course9      course4     course13      course6
 candidate25          0.9          0.4          0.4          0.3          0.3          0.7          0.9          0.6          0.7          0.4          0.3  Unqualified          0.3  Unqualified          0.6
 candidate26            0          0.8          0.8          0.3  Unqualified          0.5  Unqualified          0.7          0.8          0.5            1          0.6          0.9          0.3          0.1
 candidate27  Unqualified          0.6          0.1  Unqualified          0.4          0.3          0.1          0.4          0.4          0.3            0  Unqualified  Unqualified          0.8  Unqualified
 candidate28  Unqualified  Unqualified          0.8          0.9          0.2          0.5          0.6          0.7            1          0.3          0.7          0.5  Unqualified          0.2  Unqualified
 candidate29          0.5          0.9          0.8          0.9          0.9          0.6          0.2          0.6          0.3          0.4  Unqualified          0.6  Unqualified          0.1          0.8
 candidate30          0.9          0.3          0.8          0.6          0.7          0.2          0.7          0.9          0.7          0.2          0.2          0.6          0.5          0.6          0.6
 candidate31          0.6          0.2  Unqualified          0.9          0.7            1          0.8          0.9          0.2          0.6          0.6          0.9          0.2          0.7          0.2
 candidate32          0.1  Unqualified  Unqualified          0.3          0.4  Unqualified  Unqualified          0.6          0.3          0.1          0.2  Unqualified  Unqualified          0.8          0.5
 candidate33  Unqualified          0.4            1          0.5          0.4          0.3          0.3          0.2  Unqualified          0.5          0.1  Unqualified          0.1          0.9          0.9
 candidate34          0.5          0.7          0.9          0.8          0.4  Unqualified          0.6          0.8  Unqualified          0.7          0.9          0.9  Unqualified          0.5  Unqualified
 candidate35  Unqualified          0.5          0.5          0.9          0.7          0.1          0.7  Unqualified  Unqualified          0.4          0.8  Unqualified          0.5          0.3          0.8
 candidate36          0.7          0.7  Unqualified  Unqualified            1          0.6  Unqualified          0.5          0.6          0.6          0.9          0.5          0.2          0.6  Unqualified
 candidate37          0.7  Unqualified  Unqualified          0.5            0          0.3  Unqualified          0.2          0.7          0.5          0.3          0.4          0.3          0.4          0.3
 candidate38          0.1          0.2          0.2            0          0.4          0.3  Unqualified          0.6          0.3          0.1  Unqualified          0.5          0.6  Unqualified  Unqualified
 candidate39          0.3  Unqualified            0          0.8          0.8  Unqualified          0.7  Unqualified          0.4  Unqualified          0.4  Unqualified          0.9  Unqualified          0.6
 candidate40          0.3          0.3            1  Unqualified          0.7  Unqualified          0.6  Unqualified          0.6          0.5          0.1          0.2  Unqualified          0.1          0.2
 candidate41          0.9          0.2          0.6          0.4          0.3          0.5          0.6          0.5  Unqualified          0.6  Unqualified          0.3          0.7          0.9            0
 candidate42  Unqualified          0.1          0.6  Unqualified  Unqualified  Unqualified          0.6          0.3          0.3          0.1          0.3          0.8          0.9          0.9          0.8
 candidate43  Unqualified          0.5  Unqualified          0.7          0.1          0.7  Unqualified          0.1          0.1          0.6          0.2  Unqualified          0.5          0.4  Unqualified
 candidate44          0.6          0.7          0.1          0.3          0.2          0.8          0.5  Unqualified            1  Unqualified          0.1          0.9          0.7  Unqualified          0.2
 candidate45          0.6  Unqualified          0.1          0.3          0.7          0.6  Unqualified          0.5  Unqualified          0.4          0.7          0.8  Unqualified          0.8          0.5
 candidate46            0          0.2  Unqualified          0.7          0.3  Unqualified  Unqualified          0.1          0.4            1          0.4          0.1          0.6  Unqualified          0.7
 candidate47          0.8          0.6          0.1          0.9          0.9  Unqualified          0.8          0.6          0.7            1          0.9          0.8          0.9  Unqualified  Unqualified
 candidate48            1          0.9          0.1  Unqualified          0.6          0.3          0.1  Unqualified  Unqualified          0.3          0.4          0.7          0.5          0.2          0.8
 candidate49          0.2          0.7          0.5          0.7          0.1          0.3          0.5          0.4          0.9          0.9            0          0.8          0.7          0.3          0.8
 candidate50          0.5          0.5  Unqualified          0.3          0.5            0          0.2          0.4          0.6          0.4  Unqualified          0.9          0.2          0.1          0.3
 candidate51            1  Unqualified          0.8  Unqualified  Unqualified          0.8            0            1          0.8          0.3          0.9  Unqualified          0.9          0.8            1
 candidate52          0.5          0.5          0.6          0.1  Unqualified          0.2  Unqualified          0.6          0.3          0.9          0.9          0.3  Unqualified  Unqualified          0.9
 candidate53          0.8          0.2          0.7          0.6  Unqualified          0.5          0.1          0.9          0.8  Unqualified  Unqualified          0.2            0  Unqualified          0.1
 candidate54          0.4  Unqualified          0.6          0.5          0.9          0.4          0.6          0.6          0.5          0.3          0.6          0.9          0.1          0.1          0.6
 candidate55  Unqualified  Unqualified          0.4          0.2            1          0.8  Unqualified          0.2          0.2  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.1
 candidate56  Unqualified          0.9          0.6          0.3          0.8  Unqualified          0.1            1          0.1          0.9          0.8          0.7          0.2          0.3          0.1
 candidate57  Unqualified  Unqualified          0.7          0.3          0.1          0.8            1          0.1          0.3          0.6          0.5  Unqualified            0          0.2          0.9
 candidate58            0          0.5            1          0.6  Unqualified          0.3  Unqualified  Unqualified          0.7            1          0.4          0.4            1  Unqualified          0.1
 candidate59            0            0          0.4          0.8            1          0.3  Unqualified          0.1          0.3          0.3          0.7          0.7            1          0.3            0
 candidate60  Unqualified          0.8          0.7          0.4          0.3          0.3          0.6  Unqualified  Unqualified          0.9          0.6  Unqualified          0.6  Unqualified          0.4
 candidate61          0.8          0.2          0.3          0.4          0.8            1  Unqualified            1          0.4          0.9          0.8          0.9          0.1  Unqualified          0.8
 candidate62          0.9          0.9          0.7          0.1          0.7          0.4            0          0.6          0.2          0.8          0.3          0.8          0.6          0.3          0.1
 candidate63          0.6  Unqualified          0.3          0.7            1          0.7          0.8          0.1          0.7          0.8          0.4          0.7          0.2          0.3          0.1
 candidate64          0.8          0.7          0.5          0.1  Unqualified          0.4  Unqualified          0.3          0.3            0          0.1  Unqualified  Unqualified          0.1          0.7
 candidate65          0.4          0.1          0.3          0.8          0.1          0.2          0.5  Unqualified          0.3          0.7          0.5            1          0.4          0.2          0.2
 candidate66          0.9          0.9          0.7            0          0.6          0.9          0.4          0.3          0.9          0.2          0.8  Unqualified            0          0.3  Unqualified
 candidate67          0.2          0.1          0.8  Unqualified          0.5          0.5          0.6          0.9  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.5
 candidate68            1          0.9          0.1          0.8          0.4          0.5          0.1          0.3          0.4          0.6          0.6          0.3          0.9  Unqualified  Unqualified
 candidate69          0.5          0.1          0.9          0.1          0.9  Unqualified          0.1          0.6          0.5          0.8          0.6          0.8          0.5  Unqualified  Unqualified
 candidate70          0.5          0.6          0.6  Unqualified          0.4          0.7  Unqualified          0.5          0.2          0.8          0.5          0.1          0.7          0.3          0.8
 candidate71          0.5          0.4  Unqualified          0.2          0.4            1          0.5          0.5          0.6          0.4          0.1          0.2          0.3  Unqualified  Unqualified
 candidate72          0.8          0.1          0.2  Unqualified          0.3          0.7          0.8          0.2  Unqualified          0.6          0.7  Unqualified          0.1            0          0.3
 candidate73          0.2          0.3          0.2          0.8  Unqualified          0.1          0.1          0.9          0.3          0.3  Unqualified          0.2  Unqualified          0.9  Unqualified
 candidate74          0.7          0.2            1            0            1          0.8          0.6          0.2          0.2          0.9          0.8          0.3          0.5          0.2            1
 candidate75          0.9          0.6          0.2          0.8          0.6          0.6  Unqualified          0.8          0.3  Unqualified  Unqualified          0.3  Unqualified          0.4          0.7
 candidate76            0            0          0.2  Unqualified  Unqualified          0.7          0.2          0.7  Unqualified  Unqualified          0.3            1          0.1          0.3          0.3
 candidate77  Unqualified          0.9          0.7          0.4          0.9          0.1          0.7          0.3          0.8          0.5          0.1          0.4          0.7          0.3          0.5
 candidate78          0.8          0.6          0.1          0.2  Unqualified  Unqualified          0.7          0.5          0.4          0.1            0          0.8          0.7          0.5          0.6
 candidate79          0.2          0.5  Unqualified  Unqualified          0.4  Unqualified          0.3          0.8          0.9  Unqualified          0.4          0.5          0.8  Unqualified          0.2
 candidate80          0.3          0.5          0.7  Unqualified          0.8          0.1          0.1          0.8          0.5          0.3          0.9          0.8          0.8          0.4          0.9
 candidate81          0.3          0.6          0.3          0.4  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified            1          0.9  Unqualified
 candidate82          0.9          0.2          0.5          0.2          0.9          0.3          0.5          0.4          0.4          0.3          0.7  Unqualified          0.2          0.5          0.3
 candidate83          0.1          0.7          0.4            0          0.7  Unqualified          0.4          0.4  Unqualified          0.2          0.4  Unqualified          0.7  Unqualified          0.1
 candidate84  Unqualified          0.1            0  Unqualified          0.4          0.8            1          0.7          0.4            1  Unqualified            1          0.9  Unqualified          0.3
 candidate85          0.4  Unqualified          0.8          0.4  Unqualified          0.4          0.8          0.7  Unqualified  Unqualified          0.5          0.8          0.5            1  Unqualified
 candidate86  Unqualified          0.7          0.4          0.2  Unqualified          0.6          0.2          0.3          0.4            1          0.6          0.8          0.3  Unqualified            0
 candidate87            0  Unqualified  Unqualified  Unqualified          0.6          0.9          0.4          0.6  Unqualified  Unqualified          0.1            1          0.5          0.7          0.6
 candidate88          0.2          0.3          0.2          0.2            0  Unqualified          0.5          0.2          0.9          0.1          0.1  Unqualified          0.4          0.6          0.7
 candidate89            1          0.6          0.8          0.5          0.1          0.1          0.2  Unqualified          0.7          0.8          0.9          0.9          0.4          0.5          0.2
 candidate90          0.5          0.6          0.7          0.5  Unqualified          0.6  Unqualified  Unqualified          0.8          0.2          0.7          0.2          0.8          0.2  Unqualified
 candidate91  Unqualified          0.8          0.2          0.1  Unqualified          0.2          0.1          0.6          0.8  Unqualified  Unqualified          0.4          0.2          0.9          0.9
 candidate92  Unqualified          0.2          0.8            0          0.8  Unqualified          0.3          0.4  Unqualified          0.6          0.4          0.5          0.3          0.5  Unqualified
 candidate93          0.4          0.3          0.2  Unqualified          0.4  Unqualified          0.4  Unqualified            0          0.4          0.7  Unqualified  Unqualified  Unqualified          0.9
 candidate94          0.3            1          0.3          0.1          0.2          0.7  Unqualified  Unqualified          0.7            1  Unqualified          0.4  Unqualified  Unqualified          0.6
 candidate95            0          0.9  Unqualified          0.5  Unqualified          0.8  Unqualified            1  Unqualified  Unqualified            1          0.9  Unqualified          0.8          0.2
 candidate96          0.6          0.1          0.9          0.7          0.7          0.3  Unqualified          0.7          0.4          0.1          0.2            0  Unqualified          0.2          0.2
 candidate97          0.4            1          0.8          0.2          0.8          0.5          0.3          0.7          0.6          0.9          0.8            0  Unqualified          0.2          0.2
 candidate98  Unqualified  Unqualified          0.8  Unqualified          0.9          0.5          0.8          0.3          0.6            1          0.9          0.5          0.2          0.5  Unqualified
 candidate99          0.1          0.5          0.7          0.7          0.5          0.8            1          0.9          0.7            0  Unqualified          0.5          0.2          0.8  Unqualified
candidate100          0.1          0.9          0.6          0.9          0.7          0.1          0.4  Unqualified          0.2          0.1          0.9          0.1          0.6            0          0.3
candidate101          0.9  Unqualified          0.1          0.4          0.6          0.8  Unqualified          0.5  Unqualified            0          0.5          0.8          0.9          0.2          0.2
candidate102          0.9          0.1            0            1          0.3          0.7          0.5          0.6          0.6          0.1          0.1          0.3          0.4  Unqualified            0
candidate103          0.3  Unqualified          0.9          0.3  Unqualified  Unqualified          0.3  Unqualified          0.1          0.1  Unqualified          0.8          0.8          0.6          0.3
candidate104          0.7          0.3          0.4  Unqualified          0.6          0.4          0.1          0.2  Unqualified          0.3          0.4  Unqualified          0.1  Unqualified            0
candidate105  Unqualified          0.4  Unqualified          0.9          0.4          0.7          0.5          0.2          0.6          0.8          0.3            1          0.6  Unqualified          0.9
candidate106          0.5            1          0.8          0.2          0.8  Unqualified          0.6          0.2          0.5  Unqualified          0.4          0.9          0.9          0.5          0.1
candidate107          0.5          0.4          0.6          0.6  Unqualified          0.2          0.4          0.1          0.9          0.3            0          0.6            0  Unqualified          0.4
candidate108          0.5          0.6  Unqualified          0.2          0.7          0.8          0.8          0.2          0.9          0.7          0.5  Unqualified            0          0.6          0.7
candidate109          0.1          0.4          0.2          0.7          0.8          0.5  Unqualified  Unqualified          0.4  Unqualified          0.5          0.3          0.5          0.1            1
candidate110          0.5          0.9          0.3  Unqualified          0.2  Unqualified          0.3          0.3          0.6          0.1          0.3  Unqualified          0.1          0.4          0.8
candidate111          0.5            0          0.4          0.9          0.7          0.9          0.2            0          0.8          0.2          0.4          0.8          0.9          0.8  Unqualified
candidate112  Unqualified          0.3          0.8          0.5          0.7          0.2  Unqualified          0.8          0.1          0.3          0.4            1          0.8          0.1          0.4
candidate113          0.2          0.4  Unqualified          0.1          0.4            1          0.8            1          0.2  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.9
candidate114          0.8          0.7          0.7          0.1          0.1  Unqualified          0.2          0.8          0.8          0.2          0.9  Unqualified  Unqualified          0.4          0.6
candidate115          0.5          0.6          0.1          0.4          0.9          0.6  Unqualified  Unqualified          0.4          0.1  Unqualified          0.4          0.9          0.9  Unqualified
candidate116          0.6          0.4          0.9          0.5          0.8          0.5  Unqualified          0.2  Unqualified          0.5          0.9          0.3          0.5          0.1          0.2
candidate117          0.6  Unqualified            1  Unqualified  Unqualified          0.9          0.8          0.2  Unqualified          0.7          0.5          0.7          0.5  Unqualified          0.3
candidate118  Unqualified          0.2          0.4          0.4          0.5          0.8  Unqualified          0.5          0.6          0.4          0.2          0.4            0          0.3          0.1
candidate119  Unqualified          0.9          0.6          0.8          0.7          0.2          0.7          0.4  Unqualified            0            1          0.1          0.1            0  Unqualified
candidate120          0.1          0.7  Unqualified          0.6          0.9  Unqualified          0.6          0.4          0.7  Unqualified          0.8          0.3          0.6  Unqualified  Unqualified
candidate121          0.9            0          0.2          0.8          0.6          0.1          0.8  Unqualified          0.7          0.5          0.6  Unqualified          0.5          0.3  Unqualified
candidate122          0.2          0.7  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.2          0.8          0.4          0.6  Unqualified  Unqualified
candidate123          0.9  Unqualified          0.1          0.9          0.7          0.5          0.2  Unqualified          0.5            0          0.3          0.3  Unqualified  Unqualified          0.9
candidate124          0.1          0.5          0.8  Unqualified  Unqualified          0.4          0.8          0.8          0.6  Unqualified          0.6          0.9  Unqualified          0.7          0.5
candidate125          0.3          0.9          0.3          0.3  Unqualified  Unqualified          0.2  Unqualified            1          0.8          0.1          0.7  Unqualified  Unqualified          0.1
candidate126          0.7            1          0.4  Unqualified          0.5            1  Unqualified  Unqualified          0.3          0.1  Unqualified  Unqualified          0.8          0.8          0.2
candidate127          0.9  Unqualified          0.8          0.3  Unqualified  Unqualified  Unqualified          0.8          0.9            1          0.3          0.6          0.8  Unqualified          0.7
candidate128          0.1          0.4          0.6          0.4          0.3  Unqualified          0.1          0.5  Unqualified            1          0.3          0.5  Unqualified          0.1          0.8
candidate129          0.8          0.7          0.2          0.6          0.8          0.4          0.1          0.5          0.8  Unqualified          0.4          0.1  Unqualified  Unqualified          0.2
candidate130          0.7          0.1          0.7          0.5  Unqualified          0.8          0.8          0.2          0.1  Unqualified  Unqualified          0.9          0.6          0.6          0.1
candidate131  Unqualified          0.6          0.5          0.8          0.9          0.9  Unqualified          0.2  Unqualified          0.1          0.2          0.5          0.7          0.6  Unqualified
candidate132          0.8  Unqualified          0.3          0.9          0.2  Unqualified          0.1          0.5          0.8          0.8          0.6  Unqualified          0.7          0.1            1
candidate133          0.6          0.4  Unqualified          0.4          0.4          0.2          0.2            0  Unqualified          0.4          0.3          0.1          0.6  Unqualified  Unqualified
candidate134          0.7            1  Unqualified          0.5          0.1          0.3          0.6          0.2          0.9          0.9          0.6          0.1          0.9  Unqualified          0.8
candidate135          0.2  Unqualified          0.3          0.9          0.2          0.6  Unqualified          0.9  Unqualified          0.7          0.8          0.4  Unqualified          0.4          0.8
candidate136          0.2          0.5          0.6          0.6  Unqualified          0.7          0.5          0.1  Unqualified          0.6          0.7          0.4          0.1          0.9          0.7
candidate137          0.1  Unqualified          0.7          0.5          0.9            1          0.8            0          0.8          0.9  Unqualified          0.2          0.2          0.9            0
candidate138          0.2          0.2          0.8          0.6          0.1          0.5            1          0.1  Unqualified          0.7          0.4          0.2  Unqualified  Unqualified          0.4
candidate139          0.9          0.2          0.3          0.4          0.1          0.5          0.8          0.2          0.8  Unqualified          0.8  Unqualified          0.8          0.8          0.4
candidate140          0.9          0.3          0.6          0.7          0.3            0          0.8  Unqualified  Unqualified          0.5          0.5          0.4  Unqualified          0.1          0.9
candidate141          0.1          0.9  Unqualified          0.8          0.1  Unqualified          0.2          0.8  Unqualified  Unqualified            0          0.3          0.8          0.4          0.9
candidate142          0.6          0.3  Unqualified          0.7          0.8            0          0.4          0.3          0.8          0.4          0.5          0.9          0.1          0.1          0.6
candidate143          0.2  Unqualified  Unqualified          0.4          0.8          0.1            1          0.7          0.5          0.5  Unqualified          0.5          0.5          0.7          0.8
candidate144  Unqualified          0.5          0.2          0.9          0.8          0.1          0.9          0.1          0.4          0.2          0.4  Unqualified          0.7          0.1          0.2
candidate145          0.4          0.9          0.7            0          0.7          0.1          0.3          0.4          0.4            0            1  Unqualified          0.6  Unqualified          0.8
candidate146          0.3          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.7          0.6            1          0.8  Unqualified          0.2  Unqualified          0.7
candidate147  Unqualified          0.7            1          0.5          0.2  Unqualified          0.4          0.9          0.8          0.1          0.3            0          0.7          0.3  Unqualified
candidate148          0.1          0.2          0.5          0.2          0.3            1          0.6          0.3          0.5          0.3          0.8          0.5          0.2          0.9          0.5
candidate149          0.1          0.6          0.3          0.7          0.3          0.6          0.2          0.6          0.2  Unqualified  Unqualified            1          0.3            1          0.3
candidate150          0.6          0.4          0.3          0.9  Unqualified          0.2          0.4  Unqualified          0.3          0.7  Unqualified  Unqualified          0.4          0.7          0.3
candidate151          0.7          0.1          0.7            1          0.9          0.9          0.6          0.8  Unqualified          0.4          0.5          0.3          0.1          0.4          0.1
candidate152          0.3  Unqualified          0.3          0.6          0.6          0.8          0.7          0.2  Unqualified          0.6          0.8  Unqualified          0.7          0.9            0
candidate153          0.8          0.3          0.2          0.3          0.8          0.5          0.4          0.5  Unqualified          0.9          0.3            1  Unqualified          0.3          0.2
candidate154          0.6            0  Unqualified            1          0.5          0.7  Unqualified  Unqualified          0.8          0.2          0.9          0.3            1          0.5          0.6
candidate155  Unqualified  Unqualified          0.5          0.2          0.8          0.6          0.6  Unqualified          0.8          0.2  Unqualified  Unqualified          0.4          0.6  Unqualified
candidate156          0.4          0.1          0.4            0  Unqualified          0.7          0.9          0.5  Unqualified          0.4  Unqualified          0.3          0.8          0.1            0
candidate157          0.8          0.8          0.7          0.5          0.5          0.2          0.1          0.7  Unqualified          0.2          0.9          0.7          0.5          0.8          0.6
candidate158          0.1          0.7            1          0.3          0.9          0.6          0.2          0.3          0.3            0          0.5          0.1          0.5          0.2          0.9
candidate159  Unqualified          0.7          0.3          0.4          0.2  Unqualified          0.6  Unqualified          0.3          0.7          0.1          0.9          0.8  Unqualified          0.6
candidate160            1  Unqualified          0.3          0.6            1          0.4            0          0.4          0.6          0.5          0.6          0.1          0.5          0.9          0.5
candidate161          0.5          0.5          0.9  Unqualified            1          0.8          0.2          0.6  Unqualified          0.5          0.2          0.8          0.1          0.8  Unqualified
candidate162          0.4          0.4          0.4          0.8          0.2          0.8          0.6          0.7          0.7          0.1            1          0.4          0.1            1          0.3
candidate163            0          0.7          0.6          0.6          0.8          0.4  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.1          0.1          0.7          0.5
candidate164  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.2          0.8  Unqualified          0.3  Unqualified          0.3  Unqualified          0.3          0.8          0.8
candidate165          0.6          0.6          0.8  Unqualified          0.6          0.8          0.7          0.1          0.9          0.4  Unqualified          0.8          0.6          0.4          0.5
candidate166          0.1          0.3          0.7  Unqualified          0.9            0          0.6          0.8          0.2  Unqualified          0.5  Unqualified          0.8            1          0.1
candidate167          0.7  Unqualified          0.6            0          0.1            1          0.3          0.6          0.2          0.7  Unqualified          0.3          0.5  Unqualified          0.2
candidate168            1  Unqualified          0.3          0.4            0          0.1          0.6          0.9          0.5          0.1  Unqualified          0.6  Unqualified  Unqualified          0.4
candidate169          0.9            0          0.5  Unqualified          0.5          0.4          0.6  Unqualified          0.6          0.8          0.1          0.8          0.1          0.2          0.4
candidate170            1          0.7  Unqualified          0.6  Unqualified  Unqualified          0.5          0.6          0.8  Unqualified          0.5  Unqualified          0.1  Unqualified          0.1
candidate171          0.5          0.4          0.5  Unqualified  Unqualified            0          0.2            1          0.5          0.9  Unqualified          0.8          0.9          0.4          0.4
candidate172          0.9            1          0.6          0.6            0          0.3          0.3          0.2  Unqualified          0.5          0.1  Unqualified          0.5          0.5            1
candidate173          0.5          0.7          0.2          0.7          0.5            1  Unqualified          0.2            0          0.7            1          0.3          0.3  Unqualified          0.1
candidate174          0.4          0.1          0.5            1          0.5          0.1  Unqualified          0.7            0  Unqualified            0          0.4  Unqualified          0.4          0.3
candidate175            0  Unqualified            0          0.1          0.7  Unqualified          0.5          0.7          0.7          0.9          0.3  Unqualified          0.5          0.6  Unqualified
candidate176          0.7          0.2          0.4          0.9  Unqualified  Unqualified            0          0.8          0.9          0.5          0.5          0.7          0.4          0.1  Unqualified
candidate177  Unqualified          0.6          0.2  Unqualified          0.6          0.3  Unqualified            1          0.7  Unqualified          0.9          0.4            1  Unqualified          0.4
candidate178          0.5          0.3          0.6            1          0.6          0.8  Unqualified          0.5          0.6          0.4  Unqualified          0.3          0.8          0.4          0.1
candidate179          0.2          0.8            0          0.7          0.4          0.3          0.5          0.5          0.9  Unqualified          0.4          0.8          0.5          0.6          0.7
candidate180          0.3          0.2  Unqualified            0          0.6          0.2            1          0.4            1          0.1  Unqualified          0.3          0.1            1          0.6
candidate181  Unqualified          0.4          0.3          0.3          0.3          0.5  Unqualified  Unqualified          0.9          0.3          0.4            0          0.5          0.8  Unqualified
candidate182          0.9  Unqualified            0          0.9          0.4  Unqualified            0          0.5            0            0          0.4          0.4          0.2          0.9          0.7
candidate183          0.2          0.1          0.8            1          0.6  Unqualified          0.3          0.9          0.4          0.3          0.7  Unqualified          0.6          0.3          0.8
candidate184          0.6          0.8  Unqualified            1          0.3          0.4          0.1          0.1            1  Unqualified            1            1          0.2          0.1  Unqualified
candidate185          0.9            1          0.2          0.9  Unqualified          0.3          0.8  Unqualified  Unqualified          0.5          0.3  Unqualified          0.9          0.2          0.5
candidate186          0.5          0.4          0.1          0.4          0.7  Unqualified  Unqualified            0          0.6          0.6            0          0.7  Unqualified  Unqualified          0.9
candidate187  Unqualified          0.1  Unqualified          0.9          0.9          0.7          0.5          0.1          0.9          0.7  Unqualified          0.6  Unqualified  Unqualified          0.4
candidate188          0.3          0.3          0.2          0.2  Unqualified          0.4          0.3          0.5          0.8  Unqualified          0.1          0.1          0.5  Unqualified          0.5
candidate189          0.4          0.3          0.2          0.6          0.4          0.9          0.3          0.8          0.5  Unqualified          0.3          0.8  Unqualified          0.6  Unqualified
candidate190  Unqualified          0.4          0.1            0          0.3          0.5          0.1          0.3          0.6          0.2          0.5          0.9          0.1          0.9          0.4
candidate191  Unqualified          0.5          0.5          0.4          0.7          0.5          0.8          0.8          0.2          0.9  Unqualified          0.6          0.8          0.3          0.5
candidate192          0.6          0.4  Unqualified          0.9  Unqualified  Unqualified          0.6  Unqualified          0.1          0.6          0.5          0.4          0.4          0.9          0.5
candidate193            0          0.8          0.1  Unqualified            1  Unqualified  Unqualified          0.4          0.9          0.4  Unqualified          0.2          0.8          0.6          0.1
candidate194          0.2  Unqualified          0.8          0.1  Unqualified  Unqualified          0.6            0          0.9  Unqualified  Unqualified          0.8          0.8          0.7  Unqualified
candidate195          0.1          0.9          0.7          0.1            0          0.3  Unqualified          0.8          0.5          0.1            1          0.3          0.5          0.5          0.3
candidate196  Unqualified          0.8          0.4  Unqualified          0.7  Unqualified  Unqualified          0.3          0.9  Unqualified          0.3          0.7          0.9          0.8          0.4
candidate197          0.1  Unqualified          0.2          0.4          0.2            1          0.4          0.7  Unqualified  Unqualified          0.8          0.1          0.2  Unqualified          0.9
candidate198          0.3          0.9          0.5          0.4          0.2  Unqualified  Unqualified          0.5            0  Unqualified  Unqualified          0.9  Unqualified          0.3  Unqualified
