candidates preference to courses:
candidate      course4      course2      course3      course0      course1
course0        1         0.1          0.2          0.9  Unqualified            0         0.0          0.2         0.2          0.4          0.1          0.5  Unqualified          0.9          0.6          0.5  Unqualified          0.9          0.5  Unqualified          0.2          1.0  Unqualified  Unqualified  Unqualified          0.1          0.7          0.3          0.2          0.1          0.5          0.1          0.9          0.6  Unqualified          0.5          0.8  Unqualified          0.3          0.7  Unqualified          0.8  Unqualified          0.9          0.9          0.7  Unqualified          0.1          0.2          0.6          0.1
course1        5         0.4          0.2  Unqualified          0.7          0.3         0.4  Unqualified         0.2          0.7          0.1  Unqualified          0.8          0.6  Unqualified          0.8  Unqualified          0.9          0.6          0.5          0.2          0.7          0.6          0.8            1          0.8          0.2          0.9  Unqualified          0.4          0.5  Unqualified          0.7          0.5  Unqualified          0.2          0.1            0          0.4          0.8          0.2          0.6          0.1          0.6          0.4  Unqualified  Unqualified            1          0.4          0.8  Unqualified
course2        5         1.0          0.8          0.1          0.7          0.9         0.7          0.2         0.5          0.1          0.3          0.9          0.8          0.2          0.4          0.3          0.1  Unqualified          0.6          0.8          0.5          0.6  Unqualified          0.5          0.9          0.4            1  Unqualified          0.4          0.5          0.6          0.7          1.0          0.5          0.2          0.1          0.4  Unqualified          0.5          0.5          0.9          0.3          0.8          0.3          0.1          0.1          0.2  Unqualified          0.1          0.7          0.1
course3        2         0.2  Unqualified          0.8            0          0.1         0.1            1         0.1  Unqualified  Unqualified          0.7          0.8  Unqualified          0.3          0.6          0.2  Unqualified          0.4          0.5          0.8          0.7          0.6  Unqualified            1          0.4  Unqualified          0.5          0.2  Unqualified          0.7  Unqualified          0.7          0.7          0.7          0.1          0.5  Unqualified  Unqualified          0.0          0.8          0.2          0.8  Unqualified          0.0            0          0.6  Unqualified          0.5  Unqualified  Unqualified
course4        4         0.4          0.1          0.8          0.7  Unqualified         0.1  Unqualified         0.6          0.2          0.6          0.6          0.2          0.4          0.2  Unqualified          0.7  Unqualified          0.2          0.4          0.0          0.8          0.1  Unqualified          0.9  Unqualified          0.5          0.3          0.7          0.7          0.0          0.3          0.9          0.9          0.8          0.6  Unqualified          0.8          0.3          0.9  Unqualified          0.7          0.5          0.7          0.7  Unqualified          0.8  Unqualified  Unqualified          0.1          0.1

Final TA assignment:
course4:,candidate24, candidate46, candidate49, candidate10
course2:,candidate42, candidate27, candidate2, candidate15, candidate34
course3:,candidate20, candidate36
course0:,candidate30
course1:,candidate1, candidate28, candidate35, candidate3, candidate29

Score for assignment: 26.8
Percentage of courses get top 3 choice of candidates: 100.0
Percentage of candidates get top 3 choice of courses: 73.33
