candidates preference to courses:
candidate      course2      course7      course3     course19     course16     course22     course18     course15      course8      course6      course1     course24     course14      course9      course5     course20     course13      course0     course21     course17      course4     course11     course23     course12     course10
 candidate28  Unqualified          0.5          0.5          0.5          0.3          0.1          0.8  Unqualified            0          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.1  Unqualified  Unqualified  Unqualified          0.4          0.2          0.8          0.4  Unqualified  Unqualified
 candidate29  Unqualified  Unqualified          0.5  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.8          0.6  Unqualified          0.5          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6
 candidate30          0.8          0.4          0.1  Unqualified          0.8          0.3  Unqualified  Unqualified  Unqualified          0.8          0.7  Unqualified          0.7  Unqualified          0.9  Unqualified            0  Unqualified  Unqualified  Unqualified          0.7  Unqualified            1          0.6          0.2
 candidate31          0.6  Unqualified          0.7          0.1          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.4            1  Unqualified          0.6            0          0.2          0.9  Unqualified  Unqualified          0.4          0.4          0.2
 candidate32          0.6  Unqualified          0.5          0.9  Unqualified  Unqualified            1          0.5  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified          0.3          0.5  Unqualified  Unqualified          0.2            1            1          0.7
 candidate33          0.1  Unqualified  Unqualified  Unqualified          0.6          0.1  Unqualified          0.6  Unqualified          0.9          0.6          0.2  Unqualified  Unqualified  Unqualified          0.5          0.3  Unqualified          0.1  Unqualified  Unqualified          0.8  Unqualified          0.6  Unqualified
 candidate34  Unqualified          0.8          0.4  Unqualified  Unqualified          0.5          0.6  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.3            1          0.6          0.8  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate35          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.5          0.6  Unqualified  Unqualified          0.4  Unqualified
 candidate36          0.7          0.8  Unqualified          0.2  Unqualified  Unqualified          0.2          0.3          0.3          0.7          0.4          0.7  Unqualified  Unqualified  Unqualified          0.3            1  Unqualified          0.1  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified
 candidate37          0.6          0.6  Unqualified  Unqualified          0.6          0.7          0.8          0.6          0.1  Unqualified          0.3            1          0.7          0.7            0          0.7  Unqualified          0.5  Unqualified          0.8  Unqualified          0.8          0.2          0.7            1
 candidate38  Unqualified  Unqualified            1  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.2          0.9          0.6  Unqualified          0.3          0.2  Unqualified          0.3  Unqualified  Unqualified          0.3          0.1  Unqualified  Unqualified  Unqualified          0.3  Unqualified
 candidate39          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.3  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.2          0.5          0.7  Unqualified          0.8          0.5
 candidate40  Unqualified          0.5          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9            1          0.6  Unqualified          0.1  Unqualified          0.5  Unqualified          0.7          0.2  Unqualified  Unqualified          0.5          0.2          0.6          0.5
 candidate41  Unqualified          0.4          0.5          0.5  Unqualified          0.9  Unqualified          0.9          0.3            0            0          0.1  Unqualified          0.2  Unqualified  Unqualified          0.2          0.1          0.1  Unqualified          0.6  Unqualified  Unqualified          0.7  Unqualified
 candidate42            1  Unqualified  Unqualified  Unqualified            0          0.7          0.7  Unqualified  Unqualified  Unqualified          0.1          0.8  Unqualified  Unqualified          0.2          0.5  Unqualified          0.2          0.6  Unqualified          0.4  Unqualified  Unqualified          0.6          0.9
 candidate43  Unqualified  Unqualified            0          0.1          0.3          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.6            0  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.1  Unqualified          0.9  Unqualified          0.6  Unqualified  Unqualified
 candidate44          0.8  Unqualified          0.3  Unqualified          0.3  Unqualified          0.4          0.9  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.9  Unqualified          0.4          0.2          0.5
 candidate45          0.2          0.5          0.9          0.2          0.3  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.2          0.5  Unqualified  Unqualified  Unqualified            0  Unqualified          0.3  Unqualified          0.4  Unqualified  Unqualified          0.9          0.1  Unqualified
 candidate46          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.9          0.5  Unqualified          0.6          0.8  Unqualified          0.2  Unqualified  Unqualified            1  Unqualified          0.5  Unqualified  Unqualified          0.8  Unqualified  Unqualified
 candidate47  Unqualified  Unqualified          0.2  Unqualified          0.5          0.6          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.8          0.5  Unqualified          0.2
 candidate48  Unqualified          0.9          0.9  Unqualified          0.7  Unqualified  Unqualified          0.7          0.8  Unqualified          0.7          0.7  Unqualified          0.3  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified
 candidate49          0.2          0.6          0.6  Unqualified          0.9          0.5  Unqualified            0          0.1  Unqualified  Unqualified          0.2          0.5  Unqualified          0.6          0.2  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.8          0.6  Unqualified            0
 candidate50  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.5  Unqualified  Unqualified  Unqualified          0.5          0.5          0.3  Unqualified  Unqualified  Unqualified  Unqualified
 candidate51  Unqualified  Unqualified  Unqualified          0.7          0.9  Unqualified          0.4          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified            0  Unqualified          0.3          0.5  Unqualified          0.9  Unqualified          0.8          0.5          0.2          0.9
 candidate52          0.5          0.1  Unqualified  Unqualified          0.9          0.6          0.3          0.9  Unqualified          0.6  Unqualified            0          0.3          0.8          0.3          0.2          0.6  Unqualified  Unqualified            1  Unqualified  Unqualified          0.2          0.2          0.7
 candidate53  Unqualified            1            1          0.5  Unqualified  Unqualified          0.1  Unqualified            0          0.5            0          0.6  Unqualified  Unqualified          0.5          0.2  Unqualified            0  Unqualified  Unqualified          0.1          0.6  Unqualified  Unqualified            1
 candidate54  Unqualified          0.1          0.9          0.1          0.2          0.4  Unqualified          0.4          0.2  Unqualified          0.9  Unqualified          0.7  Unqualified          0.9  Unqualified          0.7  Unqualified          0.7          0.7  Unqualified          0.5  Unqualified  Unqualified  Unqualified
 candidate55          0.4  Unqualified          0.5          0.5  Unqualified          0.5          0.4  Unqualified            1  Unqualified  Unqualified          0.9          0.5  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified            1  Unqualified          0.7
 candidate56  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.5          0.1          0.8  Unqualified  Unqualified  Unqualified          0.7          0.6          0.5          0.2          0.5
 candidate57  Unqualified  Unqualified          0.3          0.7          0.6          0.4          0.6  Unqualified  Unqualified          0.6  Unqualified          0.1          0.3  Unqualified          0.1  Unqualified          0.3          0.1  Unqualified          0.6          0.7  Unqualified          0.8  Unqualified            1
 candidate58  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.1            0  Unqualified          0.3          0.1            0          0.4  Unqualified          0.4          0.4          0.4          0.9          0.4  Unqualified
 candidate59  Unqualified  Unqualified            1          0.9          0.7          0.8  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.3          0.1  Unqualified          0.7          0.9  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.2  Unqualified  Unqualified  Unqualified
 candidate60  Unqualified  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.2  Unqualified  Unqualified            1  Unqualified          0.5  Unqualified          0.7          0.6          0.3          0.1  Unqualified          0.5          0.5  Unqualified  Unqualified  Unqualified          0.9          0.6
 candidate61          0.3          0.1          0.6          0.3  Unqualified          0.3  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.2          0.6          0.5          0.7  Unqualified          0.3          0.4            0  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.4
 candidate62          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified          0.3  Unqualified          0.4  Unqualified          0.4          0.3          0.9  Unqualified          0.5          0.3  Unqualified          0.6  Unqualified          0.8          0.4
 candidate63          0.1  Unqualified          0.4          0.3  Unqualified  Unqualified  Unqualified          0.4          0.8          0.9          0.6          0.1  Unqualified  Unqualified          0.9  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.5
 candidate64  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.8          0.2  Unqualified          0.1          0.2          0.2          0.8          0.3  Unqualified          0.7  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.5            0
 candidate65  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.1  Unqualified          0.2          0.4  Unqualified  Unqualified          0.5          0.4  Unqualified          0.7            0          0.2          0.5  Unqualified          0.4          0.7
 candidate66          0.3  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.9  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified          0.1            1          0.1  Unqualified  Unqualified
 candidate67  Unqualified          0.1          0.1  Unqualified          0.5          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.8            1  Unqualified          0.2  Unqualified  Unqualified          0.6          0.3  Unqualified          0.4          0.4  Unqualified
 candidate68  Unqualified  Unqualified  Unqualified          0.9            0          0.7  Unqualified  Unqualified          0.1            1          0.9  Unqualified  Unqualified          0.1  Unqualified          0.5          0.1          0.7  Unqualified          0.1          0.4  Unqualified          0.6  Unqualified          0.9
 candidate69          0.5  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.9  Unqualified          0.2  Unqualified  Unqualified          0.4          0.6            0          0.8  Unqualified  Unqualified          0.4          0.9          0.5  Unqualified
 candidate70  Unqualified  Unqualified          0.2  Unqualified            0  Unqualified            0  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.1  Unqualified          0.3          0.4          0.1  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9
 candidate71  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.4  Unqualified          0.4          0.1  Unqualified  Unqualified          0.7            1  Unqualified          0.3  Unqualified          0.2          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified
 candidate72            0  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.3  Unqualified          0.1          0.1  Unqualified  Unqualified            1          0.2          0.8          0.6          0.7          0.8  Unqualified          0.8  Unqualified          0.7
 candidate73          0.9  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.6          0.5  Unqualified          0.9          0.7          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.6
 candidate74            1          0.1            1  Unqualified  Unqualified          0.9          0.9            1  Unqualified          0.8          0.1          0.5          0.7          0.2  Unqualified  Unqualified          0.3          0.2          0.5  Unqualified          0.6          0.2  Unqualified          0.3  Unqualified
 candidate75  Unqualified          0.3  Unqualified          0.9  Unqualified          0.7  Unqualified          0.5  Unqualified          0.5          0.1  Unqualified          0.3  Unqualified          0.2          0.5          0.9          0.6  Unqualified          0.3          0.3  Unqualified  Unqualified  Unqualified          0.9
 candidate76          0.5          0.1            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.6          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.4  Unqualified          0.9          0.7
 candidate77  Unqualified          0.6          0.2          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.8          0.2  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified
 candidate78  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.1          0.8          0.8          0.3  Unqualified            0          0.9          0.2          0.5  Unqualified            0          0.8          0.4          0.7          0.9  Unqualified  Unqualified          0.8
 candidate79          0.7          0.8          0.7  Unqualified          0.5          0.9          0.6          0.5          0.8          0.1          0.9          0.1  Unqualified          0.8  Unqualified          0.7            1  Unqualified          0.8          0.2          0.6          0.6          0.1  Unqualified          0.3
 candidate80  Unqualified          0.7          0.9          0.2  Unqualified          0.5          0.1  Unqualified  Unqualified          0.5  Unqualified  Unqualified            0          0.6  Unqualified          0.4  Unqualified          0.2  Unqualified  Unqualified          0.8  Unqualified          0.2  Unqualified          0.2
 candidate81          0.5  Unqualified          0.2  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.4          0.7          0.3          0.6          0.8          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.7  Unqualified
 candidate82  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.1  Unqualified          0.5  Unqualified          0.1            1  Unqualified          0.1          0.3          0.2          0.4          0.9          0.8          0.1  Unqualified
 candidate83          0.5  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.5  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified          0.6            1  Unqualified  Unqualified  Unqualified          0.6
 candidate84            0  Unqualified  Unqualified  Unqualified          0.5          0.9          0.4  Unqualified  Unqualified  Unqualified          0.6  Unqualified            1          0.5            0          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.6  Unqualified  Unqualified
 candidate85  Unqualified          0.4          0.5          0.2  Unqualified          0.9  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.8            1          0.7  Unqualified            0  Unqualified          0.2  Unqualified          0.7          0.5  Unqualified  Unqualified          0.2
 candidate86          0.2          0.7          0.6          0.4  Unqualified          0.7          0.1          0.4  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.8  Unqualified          0.8          0.2          0.6  Unqualified  Unqualified  Unqualified
 candidate87  Unqualified          0.9  Unqualified          0.2  Unqualified            1          0.4          0.7  Unqualified  Unqualified          0.6          0.9  Unqualified          0.6  Unqualified          0.3  Unqualified          0.7  Unqualified          0.1  Unqualified          0.9  Unqualified  Unqualified          0.4
 candidate88  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.3          0.7          0.6  Unqualified          0.4          0.3  Unqualified  Unqualified  Unqualified          0.6          0.6          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.6  Unqualified          0.9
 candidate89          0.4          0.9          0.4  Unqualified  Unqualified          0.4          0.2  Unqualified          0.4  Unqualified  Unqualified          0.6  Unqualified          0.9          0.1  Unqualified  Unqualified          0.7            0          0.3  Unqualified            0  Unqualified          0.7  Unqualified
 candidate90  Unqualified  Unqualified  Unqualified  Unqualified          0.6            1  Unqualified          0.4  Unqualified          0.2          0.5          0.5  Unqualified          0.6          0.2            0  Unqualified  Unqualified          0.8  Unqualified          0.4  Unqualified            0          0.6  Unqualified
 candidate91          0.7          0.3  Unqualified          0.2  Unqualified            1  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.5            1  Unqualified          0.2  Unqualified  Unqualified  Unqualified
 candidate92  Unqualified  Unqualified          0.5          0.7  Unqualified  Unqualified          0.1          0.4  Unqualified  Unqualified          0.4          0.9  Unqualified          0.7  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.1  Unqualified  Unqualified
 candidate93          0.6          0.1  Unqualified          0.1          0.8          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1            0  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.6            1          0.4
 candidate94  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified            1  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.4          0.7  Unqualified            0          0.5  Unqualified  Unqualified  Unqualified
 candidate95          0.9          0.5          0.3          0.4          0.6  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.3  Unqualified  Unqualified          0.5  Unqualified          0.8  Unqualified  Unqualified          0.2          0.2  Unqualified          0.9
 candidate96          0.8  Unqualified  Unqualified  Unqualified          0.3          0.2  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1          0.7  Unqualified  Unqualified          0.8  Unqualified          0.4          0.2          0.3  Unqualified  Unqualified
 candidate97          0.6  Unqualified  Unqualified            1          0.7          0.9  Unqualified  Unqualified  Unqualified          0.3          0.6          0.5  Unqualified          0.2  Unqualified          0.1          0.7  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.8          0.3          0.6
 candidate98          0.6            0          0.9          0.6  Unqualified          0.3  Unqualified          0.2          0.2          0.4  Unqualified          0.2  Unqualified          0.1          0.3  Unqualified  Unqualified  Unqualified          0.6          0.8          0.7          0.6  Unqualified          0.8  Unqualified
 candidate99          0.2          0.9  Unqualified          0.6          0.7          0.3            0  Unqualified          0.2          0.9            0          0.6          0.8  Unqualified          0.2          0.9          0.7  Unqualified          0.8  Unqualified          0.1  Unqualified          0.1  Unqualified          0.4
candidate100  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.6          0.6          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.3  Unqualified            1
candidate101          0.8  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.5          0.7          0.5  Unqualified          0.8  Unqualified  Unqualified          0.3  Unqualified  Unqualified            0
candidate102          0.3          0.1          0.5          0.5            0  Unqualified          0.8  Unqualified          0.6  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.7          0.8  Unqualified  Unqualified          0.9  Unqualified          0.1
candidate103  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.8          0.4  Unqualified  Unqualified          0.2          0.3  Unqualified  Unqualified          0.3          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.1  Unqualified          0.4
candidate104  Unqualified          0.6  Unqualified  Unqualified            0          0.5  Unqualified  Unqualified          0.7          0.6  Unqualified          0.3            1          0.6  Unqualified          0.8          0.7          0.5          0.8  Unqualified          0.1          0.8  Unqualified  Unqualified  Unqualified
candidate105  Unqualified  Unqualified          0.9          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.8          0.8          0.1          0.1          0.3          0.9          0.9  Unqualified  Unqualified          0.7
candidate106          0.9  Unqualified            0          0.3          0.3          0.2          0.5  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.1            1  Unqualified  Unqualified            1  Unqualified          0.3            0  Unqualified          0.3          0.4
