candidates preference to courses:
candidate      course8      course2      course6      course7     course14      course3      course0      course5      course9     course17     course18      course4      course1     course16     course11     course13     course19     course12     course10     course15
 candidate20          0.5          0.2  Unqualified  Unqualified          0.6  Unqualified          0.7          0.4  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.5            0          0.7          0.8          0.3
 candidate21  Unqualified          0.1            1  Unqualified  Unqualified          0.1          0.1            1  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.4          0.6  Unqualified          0.4
 candidate22  Unqualified          0.3  Unqualified          0.5          0.3  Unqualified          0.9  Unqualified  Unqualified          0.1  Unqualified            1  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.5
 candidate23          0.1  Unqualified  Unqualified          0.4          0.7  Unqualified  Unqualified          0.5          0.7          0.5  Unqualified  Unqualified          0.9          0.3  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified
 candidate24  Unqualified          0.8          0.8          0.6          0.6          0.9  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.9          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified
 candidate25  Unqualified  Unqualified  Unqualified          0.7          0.2          0.8          0.2  Unqualified  Unqualified  Unqualified          0.5          0.8  Unqualified  Unqualified          0.3  Unqualified          0.7  Unqualified          0.2          0.2
 candidate26  Unqualified          0.3          0.9  Unqualified          0.9  Unqualified  Unqualified          0.2          0.1          0.9          0.7          0.7            0          0.4            1  Unqualified            1  Unqualified  Unqualified          0.7
 candidate27  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified            1  Unqualified          0.1  Unqualified            0            1  Unqualified          0.6  Unqualified  Unqualified  Unqualified
 candidate28            0  Unqualified  Unqualified          0.1          0.9  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.4          0.3  Unqualified          0.9  Unqualified          0.1            1          0.8          0.5
 candidate29          0.1          0.7          0.2  Unqualified          0.1  Unqualified  Unqualified          0.8          0.7          0.4          0.2          0.1  Unqualified          0.6          0.5  Unqualified          0.2          0.6  Unqualified          0.9
 candidate30  Unqualified          0.5          0.5          0.5  Unqualified          0.2          0.6  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            0  Unqualified          0.8
 candidate31          0.4  Unqualified          0.3  Unqualified          0.3          0.3  Unqualified          0.9          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate32          0.1  Unqualified  Unqualified          0.9          0.2  Unqualified  Unqualified  Unqualified          0.7          0.5  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.4  Unqualified  Unqualified
 candidate33          0.4          0.6            0  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified            1  Unqualified          0.9  Unqualified  Unqualified          0.1          0.6          0.6  Unqualified          0.9  Unqualified
 candidate34            0  Unqualified          0.5          0.5          0.8  Unqualified          0.2          0.4          0.8          0.7  Unqualified  Unqualified          0.7          0.6          0.9  Unqualified          0.7          0.2          0.8  Unqualified
 candidate35  Unqualified          0.2  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.2          0.9          0.1          0.3          0.4
 candidate36          0.5          0.2          0.2  Unqualified          0.3          0.3  Unqualified          0.1          0.8          0.3          0.3  Unqualified  Unqualified          0.4  Unqualified          0.1  Unqualified  Unqualified          0.6  Unqualified
 candidate37            0  Unqualified          0.1            1          0.9  Unqualified          0.4  Unqualified          0.6          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.6  Unqualified          0.1
 candidate38  Unqualified          0.7          0.1  Unqualified  Unqualified          0.7          0.4          0.8          0.6          0.1          0.3  Unqualified          0.9          0.8  Unqualified            0          0.4  Unqualified  Unqualified  Unqualified
 candidate39          0.1  Unqualified          0.9            0  Unqualified  Unqualified          0.7          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.9          0.5          0.1          0.2
 candidate40  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.1  Unqualified  Unqualified          0.6  Unqualified          0.1  Unqualified            0  Unqualified  Unqualified  Unqualified          0.6          0.7  Unqualified  Unqualified
 candidate41          0.9          0.3  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.9  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.7
 candidate42  Unqualified  Unqualified          0.6            0  Unqualified          0.8  Unqualified  Unqualified          0.1  Unqualified            1  Unqualified            0  Unqualified          0.4          0.2          0.3          0.7  Unqualified  Unqualified
 candidate43          0.5          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.7  Unqualified          0.3          0.8            0          0.5          0.3          0.5  Unqualified          0.5  Unqualified
 candidate44          0.2  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified          0.2  Unqualified          0.5          0.9  Unqualified          0.1          0.8          0.8  Unqualified          0.6          0.8  Unqualified  Unqualified
 candidate45  Unqualified          0.9          0.8          0.3          0.8          0.1  Unqualified  Unqualified            1          0.3          0.2            0          0.8  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.3  Unqualified
 candidate46          0.1  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.6          0.1  Unqualified          0.4          0.1          0.4  Unqualified          0.2          0.9  Unqualified  Unqualified          0.7  Unqualified
 candidate47  Unqualified  Unqualified          0.3  Unqualified          0.8          0.4          0.2          0.1          0.3  Unqualified          0.7  Unqualified          0.7  Unqualified          0.1          0.2  Unqualified          0.6          0.3            1
 candidate48          0.8  Unqualified  Unqualified            1          0.4  Unqualified  Unqualified          0.5          0.3  Unqualified          0.3          0.4  Unqualified          0.8  Unqualified          0.6  Unqualified          0.4          0.6  Unqualified
 candidate49          0.1  Unqualified          0.8  Unqualified  Unqualified  Unqualified            0          0.1  Unqualified  Unqualified          0.5  Unqualified          0.8  Unqualified  Unqualified          0.5  Unqualified          0.8          0.7          0.9
 candidate50          0.3          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.9          0.5          0.6            1          0.8  Unqualified          0.8  Unqualified  Unqualified  Unqualified            0          0.4          0.7
 candidate51          0.6          0.4            0  Unqualified  Unqualified  Unqualified          0.1  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.4          0.5  Unqualified  Unqualified          0.4  Unqualified          0.7          0.8
 candidate52  Unqualified  Unqualified          0.5          0.9            1          0.7          0.8          0.6  Unqualified  Unqualified  Unqualified            0          0.6  Unqualified            1  Unqualified          0.7          0.3  Unqualified          0.6
 candidate53          0.6  Unqualified  Unqualified          0.8  Unqualified          0.1          0.1  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.8          0.4  Unqualified          0.3          0.4  Unqualified          0.9  Unqualified
 candidate54          0.1  Unqualified          0.8  Unqualified          0.8          0.3  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.1          0.8  Unqualified  Unqualified          0.9  Unqualified          0.7            1
 candidate55          0.8          0.1          0.4  Unqualified  Unqualified  Unqualified          0.7  Unqualified          0.8  Unqualified  Unqualified          0.2          0.9            1  Unqualified          0.7  Unqualified  Unqualified            1          0.5
 candidate56  Unqualified          0.7  Unqualified  Unqualified          0.2            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.1
 candidate57  Unqualified  Unqualified            1          0.7          0.9          0.2          0.6          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.6            1  Unqualified          0.6          0.9  Unqualified  Unqualified
 candidate58  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.3  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.3          0.7          0.9  Unqualified
 candidate59          0.2            1          0.2          0.6          0.9            0  Unqualified  Unqualified          0.4          0.9  Unqualified          0.6  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate60          0.1  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.9            1  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.1
 candidate61          0.2          0.8  Unqualified            1  Unqualified          0.7  Unqualified  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.7          0.9          0.5  Unqualified  Unqualified
 candidate62  Unqualified          0.5          0.3  Unqualified  Unqualified          0.2  Unqualified          0.2          0.3  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.1          0.1          0.2  Unqualified          0.6          0.9
 candidate63          0.8  Unqualified          0.1  Unqualified          0.1  Unqualified  Unqualified          0.6          0.2  Unqualified          0.6          0.3          0.7          0.4          0.8  Unqualified  Unqualified          0.5  Unqualified  Unqualified
 candidate64          0.6  Unqualified          0.6  Unqualified          0.4          0.1  Unqualified          0.7          0.5  Unqualified          0.1          0.7          0.2          0.2  Unqualified          0.5          0.5          0.4          0.8  Unqualified
 candidate65  Unqualified  Unqualified          0.5          0.9  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.5          0.2  Unqualified          0.4  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.8  Unqualified
 candidate66  Unqualified  Unqualified  Unqualified  Unqualified            1          0.6  Unqualified  Unqualified  Unqualified          0.8          0.2  Unqualified          0.2          0.1          0.7          0.2          0.4  Unqualified          0.7  Unqualified
 candidate67  Unqualified  Unqualified  Unqualified          0.8          0.5            1          0.7            1          0.8  Unqualified          0.9  Unqualified  Unqualified            0          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate68          0.8          0.7            0          0.3          0.8          0.2          0.9  Unqualified  Unqualified            1          0.4            1  Unqualified            0  Unqualified  Unqualified  Unqualified          0.6            1  Unqualified
 candidate69          0.2          0.2            1  Unqualified          0.8  Unqualified          0.3          0.5  Unqualified          0.6  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.8          0.9
 candidate70  Unqualified  Unqualified          0.9  Unqualified          0.8  Unqualified          0.3  Unqualified          0.9  Unqualified          0.7          0.7            0  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified
 candidate71  Unqualified  Unqualified          0.4          0.8  Unqualified          0.6  Unqualified  Unqualified          0.6          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.1          0.9  Unqualified  Unqualified  Unqualified
 candidate72  Unqualified          0.8          0.3  Unqualified          0.2  Unqualified  Unqualified          0.1          0.6          0.4          0.4          0.4  Unqualified            1          0.9  Unqualified          0.2          0.9          0.9            0
 candidate73  Unqualified  Unqualified          0.6          0.5  Unqualified          0.3          0.1  Unqualified          0.1  Unqualified          0.6  Unqualified          0.4  Unqualified  Unqualified            1  Unqualified  Unqualified            0  Unqualified
 candidate74  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.2          0.8          0.7  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.3          0.6  Unqualified  Unqualified
 candidate75          0.1          0.9          0.1  Unqualified          0.4          0.6          0.4          0.1  Unqualified            0  Unqualified          0.4          0.3  Unqualified          0.8  Unqualified          0.9  Unqualified  Unqualified  Unqualified
 candidate76            0  Unqualified            1          0.7  Unqualified          0.7          0.1          0.4          0.9          0.5  Unqualified          0.2          0.9  Unqualified            1  Unqualified  Unqualified  Unqualified          0.6          0.5
 candidate77          0.1  Unqualified  Unqualified  Unqualified          0.8          0.6          0.8          0.9  Unqualified  Unqualified          0.6          0.3  Unqualified          0.9  Unqualified          0.5          0.2  Unqualified  Unqualified  Unqualified
 candidate78  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.8          0.2            1          0.3  Unqualified            1  Unqualified            1          0.5          0.9  Unqualified          0.6  Unqualified          0.4  Unqualified
 candidate79          0.3          0.8          0.7  Unqualified          0.2          0.5  Unqualified          0.3  Unqualified  Unqualified          0.4          0.5          0.5  Unqualified          0.3          0.8          0.9          0.4          0.4  Unqualified
 candidate80            0          0.7          0.1  Unqualified          0.3          0.7  Unqualified          0.3  Unqualified          0.5          0.2          0.5          0.8          0.8          0.5          0.6  Unqualified          0.8          0.4          0.2
 candidate81          0.2          0.2  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified
 candidate82  Unqualified  Unqualified  Unqualified          0.2          0.6  Unqualified  Unqualified          0.1          0.5          0.7          0.2          0.9  Unqualified          0.3          0.7  Unqualified          0.5  Unqualified            0          0.7
 candidate83  Unqualified  Unqualified  Unqualified          0.2            0          0.8          0.6          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified          0.9          0.1  Unqualified
 candidate84          0.7          0.1  Unqualified          0.5          0.4          0.2          0.8          0.4  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.1  Unqualified  Unqualified          0.2
 candidate85            0  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.9          0.8  Unqualified          0.6  Unqualified  Unqualified            1  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.9
 candidate86  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.4          0.4          0.1          0.6          0.7          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.7
 candidate87  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.9          0.3  Unqualified          0.4            0  Unqualified  Unqualified          0.4  Unqualified          0.9  Unqualified          0.7          0.5          0.4          0.4
 candidate88  Unqualified            0          0.7          0.5  Unqualified            1  Unqualified            0          0.8  Unqualified  Unqualified          0.1          0.9          0.9          0.5          0.9          0.2  Unqualified  Unqualified  Unqualified
 candidate89  Unqualified          0.4  Unqualified          0.1            1  Unqualified  Unqualified            1          0.7  Unqualified  Unqualified          0.6  Unqualified          0.1          0.5          0.2  Unqualified          0.9  Unqualified  Unqualified
 candidate90  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.1          0.4          0.2  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.2          0.4          0.8
 candidate91  Unqualified  Unqualified          0.1          0.6  Unqualified          0.5          0.2          0.9  Unqualified  Unqualified          0.9          0.7          0.2          0.4          0.2  Unqualified          0.6  Unqualified          0.5  Unqualified
 candidate92          0.5          0.3          0.7          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified            0  Unqualified
 candidate93  Unqualified  Unqualified          0.5          0.7          0.7  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate94  Unqualified          0.3  Unqualified          0.4            1          0.4  Unqualified          0.8  Unqualified  Unqualified          0.8          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.5            1          0.9          0.1
 candidate95          0.2          0.8          0.2  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.2            0  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.8  Unqualified
 candidate96  Unqualified          0.2  Unqualified          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.2  Unqualified          0.5          0.6          0.6  Unqualified  Unqualified          0.3
 candidate97          0.8  Unqualified  Unqualified          0.2          0.5            0  Unqualified  Unqualified          0.6          0.2  Unqualified            1  Unqualified          0.8            1  Unqualified  Unqualified          0.9  Unqualified  Unqualified
 candidate98          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.5          0.6          0.2  Unqualified  Unqualified          0.1          0.1          0.8
 candidate99  Unqualified  Unqualified          0.6  Unqualified          0.4  Unqualified          0.6  Unqualified          0.8          0.2  Unqualified          0.2          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.6
candidate100            0          0.5          0.1  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.3          0.2          0.8          0.7  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.6  Unqualified  Unqualified
candidate101  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.6          0.8  Unqualified          0.5            1          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified
candidate102          0.8          0.7          0.8          0.8  Unqualified          0.3          0.7  Unqualified  Unqualified          0.1  Unqualified          0.5          0.2          0.2  Unqualified          0.2  Unqualified          0.2  Unqualified          0.3
candidate103          0.1          0.6  Unqualified  Unqualified          0.8  Unqualified  Unqualified          0.4  Unqualified          0.7          0.8  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.8          0.5
candidate104  Unqualified  Unqualified          0.4          0.4  Unqualified          0.3  Unqualified          0.9  Unqualified  Unqualified          0.7  Unqualified          0.8  Unqualified          0.4          0.2  Unqualified  Unqualified  Unqualified          0.9
candidate105  Unqualified            1  Unqualified          0.4  Unqualified          0.6  Unqualified          0.3          0.3          0.5          0.3          0.2  Unqualified          0.4            1  Unqualified  Unqualified          0.9  Unqualified          0.8
candidate106          0.1  Unqualified          0.6          0.5          0.5          0.6  Unqualified          0.3  Unqualified          0.5  Unqualified  Unqualified          0.2  Unqualified          0.5          0.7  Unqualified          0.9          0.8          0.7
candidate107          0.3  Unqualified  Unqualified          0.1          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.5          0.4          0.2
candidate108  Unqualified            0  Unqualified          0.5          0.9          0.5          0.8  Unqualified          0.9  Unqualified          0.9          0.3          0.3          0.4  Unqualified          0.3          0.2          0.4  Unqualified  Unqualified
candidate109          0.9          0.8          0.7  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.1  Unqualified          0.2  Unqualified  Unqualified  Unqualified
candidate110  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            1          0.1  Unqualified  Unqualified          0.9  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.6  Unqualified
candidate111          0.4  Unqualified  Unqualified  Unqualified          0.8            0            0  Unqualified  Unqualified  Unqualified          0.2            0  Unqualified          0.7  Unqualified          0.2  Unqualified          0.3  Unqualified          0.4
candidate112  Unqualified          0.4  Unqualified          0.5          0.5            1          0.6  Unqualified  Unqualified  Unqualified          0.3          0.4          0.3          0.9          0.2          0.4            0          0.2          0.6          0.8
candidate113          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.2  Unqualified  Unqualified  Unqualified          0.9            0          0.4  Unqualified          0.2          0.1  Unqualified  Unqualified          0.9          0.8
candidate114  Unqualified  Unqualified            0          0.2  Unqualified          0.1          0.5          0.7  Unqualified            0          0.9          0.8            0  Unqualified  Unqualified          0.1          0.6  Unqualified  Unqualified  Unqualified
candidate115          0.2          0.8          0.8  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.6            0  Unqualified  Unqualified          0.3  Unqualified          0.6          0.7          0.2  Unqualified  Unqualified  Unqualified
candidate116          0.6  Unqualified          0.6  Unqualified  Unqualified          0.4          0.5          0.1  Unqualified          0.6          0.4  Unqualified          0.5          0.5          0.4          0.1          0.3  Unqualified  Unqualified          0.6
candidate117  Unqualified  Unqualified          0.2          0.3            0  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.1          0.9  Unqualified  Unqualified            1            0  Unqualified          0.4  Unqualified  Unqualified
candidate118          0.6          0.3  Unqualified          0.6          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.2  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.1          0.4          0.8
candidate119  Unqualified          0.3  Unqualified  Unqualified          0.6          0.3  Unqualified          0.6          0.8          0.6          0.7          0.6          0.2  Unqualified            0  Unqualified          0.1  Unqualified            0          0.3
candidate120  Unqualified          0.7  Unqualified          0.9          0.6  Unqualified          0.8          0.8  Unqualified          0.2          0.8  Unqualified          0.7  Unqualified  Unqualified          0.6  Unqualified          0.1  Unqualified          0.9
candidate121  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5            1  Unqualified          0.7  Unqualified          0.2  Unqualified  Unqualified  Unqualified            1          0.4          0.1
candidate122  Unqualified          0.3  Unqualified          0.7          0.2  Unqualified          0.4  Unqualified          0.8          0.4  Unqualified          0.8          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified
candidate123          0.9          0.4          0.9          0.2          0.2  Unqualified          0.2          0.4          0.8  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.4  Unqualified
candidate124  Unqualified  Unqualified          0.8          0.5          0.1          0.6  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.5          0.6  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified
candidate125  Unqualified          0.7          0.5  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.5          0.1            1          0.8  Unqualified          0.6  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.1
candidate126          0.1          0.7          0.8          0.4          0.2  Unqualified  Unqualified          0.1          0.1          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.3          0.4            1
candidate127          0.8            0  Unqualified          0.2  Unqualified  Unqualified          0.9  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.3  Unqualified  Unqualified  Unqualified
candidate128          0.6  Unqualified          0.5  Unqualified  Unqualified          0.7  Unqualified          0.9          0.9  Unqualified          0.9          0.3          0.5          0.6          0.5  Unqualified  Unqualified          0.2          0.7  Unqualified
candidate129  Unqualified  Unqualified          0.3          0.5          0.7            0  Unqualified          0.8            0          0.7            1  Unqualified  Unqualified          0.5          0.5          0.5  Unqualified          0.4          0.4          0.9
candidate130          0.6          0.8          0.6          0.1  Unqualified          0.8  Unqualified          0.2          0.8          0.7  Unqualified            1  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.5          0.9          0.8
candidate131          0.3          0.8          0.9  Unqualified  Unqualified            1          0.7  Unqualified          0.6          0.2          0.4          0.8          0.4  Unqualified          0.1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
candidate132          0.8          0.1  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.7  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.2
