candidates preference to courses:
candidate      course2     course29      course7      course3     course19     course16     course22     course18     course15      course8      course6      course1     course28     course27     course24     course14      course9      course5     course20     course13     course26     course25      course0     course21     course17      course4     course11     course23     course12     course10
 candidate39          0.7          0.8          0.9  Unqualified          0.8          0.9            0  Unqualified  Unqualified  Unqualified          0.1          0.8  Unqualified  Unqualified  Unqualified          0.5          0.5  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.9  Unqualified            0          0.8  Unqualified          0.1  Unqualified
 candidate40  Unqualified  Unqualified            0  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.8  Unqualified          0.5          0.2  Unqualified          0.4  Unqualified          0.8          0.9          0.2          0.9  Unqualified          0.8          0.9  Unqualified          0.6          0.2  Unqualified          0.8  Unqualified  Unqualified  Unqualified
 candidate41          0.3  Unqualified  Unqualified          0.1          0.4            0  Unqualified          0.5  Unqualified          0.4  Unqualified  Unqualified          0.8  Unqualified          0.8  Unqualified  Unqualified  Unqualified            0          0.7  Unqualified          0.5          0.9  Unqualified          0.2  Unqualified  Unqualified          0.9  Unqualified          0.8
 candidate42          0.9          0.3          0.9  Unqualified            1          0.5          0.3            0  Unqualified          0.8  Unqualified          0.7          0.9          0.9          0.2          0.8          0.4          0.5  Unqualified          0.6  Unqualified  Unqualified            1  Unqualified            1          0.5  Unqualified  Unqualified          0.9  Unqualified
 candidate43          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2          0.1          0.3          0.1  Unqualified          0.3          0.6            1  Unqualified          0.4  Unqualified          0.2  Unqualified          0.2  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified            0  Unqualified  Unqualified          0.5
 candidate44          0.7  Unqualified  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.9          0.6          0.1          0.2          0.3          0.1  Unqualified          0.3          0.8  Unqualified  Unqualified  Unqualified            1  Unqualified  Unqualified          0.5  Unqualified
 candidate45          0.1          0.6          0.2          0.5  Unqualified  Unqualified  Unqualified            1          0.4          0.4          0.3  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.6          0.5  Unqualified          0.8            0  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.7          0.3
 candidate46          0.3  Unqualified  Unqualified          0.4          0.2            1  Unqualified          0.9  Unqualified          0.1  Unqualified          0.1  Unqualified          0.3          0.5  Unqualified  Unqualified          0.3          0.9          0.7          0.9          0.2  Unqualified          0.7          0.7  Unqualified  Unqualified  Unqualified          0.8          0.8
 candidate47          0.1  Unqualified  Unqualified          0.4  Unqualified          0.1  Unqualified          0.6          0.4          0.5  Unqualified          0.6  Unqualified          0.2  Unqualified          0.6          0.2  Unqualified            1          0.2          0.7            1  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.7          0.5            1
 candidate48  Unqualified          0.1          0.7  Unqualified          0.1          0.7          0.2  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.3  Unqualified          0.2  Unqualified  Unqualified            0          0.8          0.6  Unqualified  Unqualified          0.8  Unqualified  Unqualified  Unqualified            1          0.8          0.6  Unqualified
 candidate49          0.2  Unqualified          0.2  Unqualified          0.6  Unqualified  Unqualified          0.6  Unqualified          0.1  Unqualified  Unqualified          0.8          0.6  Unqualified          0.4          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.1          0.3  Unqualified          0.9  Unqualified  Unqualified
 candidate50  Unqualified  Unqualified          0.3          0.8  Unqualified  Unqualified          0.5          0.6          0.7  Unqualified          0.9  Unqualified  Unqualified          0.7  Unqualified          0.1  Unqualified          0.6  Unqualified          0.6  Unqualified          0.1  Unqualified  Unqualified          0.6  Unqualified          0.6  Unqualified  Unqualified  Unqualified
 candidate51  Unqualified  Unqualified  Unqualified          0.6          0.1  Unqualified  Unqualified          0.5  Unqualified          0.5  Unqualified  Unqualified          0.1          0.2  Unqualified          0.3          0.4            1          0.9  Unqualified          0.9          0.9          0.1  Unqualified  Unqualified          0.4  Unqualified          0.2          0.3  Unqualified
 candidate52            0  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified            0  Unqualified          0.5          0.3  Unqualified          0.3          0.1  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.5          0.4  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified  Unqualified
 candidate53  Unqualified  Unqualified          0.3          0.9  Unqualified          0.2          0.6  Unqualified  Unqualified  Unqualified          0.4          0.4  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.6  Unqualified          0.4          0.1          0.7  Unqualified  Unqualified  Unqualified  Unqualified
 candidate54          0.2            0          0.4  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.9          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.7          0.6  Unqualified  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified          0.4          0.5          0.9  Unqualified
 candidate55  Unqualified          0.2          0.3  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.3  Unqualified  Unqualified          0.5          0.5  Unqualified          0.5  Unqualified          0.8  Unqualified          0.2          0.9            1          0.7          0.5  Unqualified          0.5          0.1          0.1  Unqualified  Unqualified  Unqualified
 candidate56          0.3  Unqualified  Unqualified            0          0.4          0.7  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.8  Unqualified  Unqualified          0.2          0.7  Unqualified          0.9          0.7  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified
 candidate57          0.8          0.7  Unqualified          0.7          0.1  Unqualified          0.3          0.7  Unqualified          0.8          0.2          0.8          0.3          0.3  Unqualified          0.2          0.3  Unqualified  Unqualified  Unqualified          0.4          0.6          0.9          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5
 candidate58          0.2  Unqualified          0.2          0.5  Unqualified          0.5  Unqualified  Unqualified          0.9  Unqualified            0          0.4          0.7  Unqualified  Unqualified            1          0.8            0          0.1  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5
 candidate59          0.1          0.9  Unqualified          0.2  Unqualified  Unqualified          0.2  Unqualified          0.9          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.7          0.4          0.2          0.5  Unqualified          0.5  Unqualified  Unqualified          0.9          0.2          0.2          0.4  Unqualified          0.4  Unqualified
 candidate60  Unqualified  Unqualified          0.3  Unqualified            0  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.7  Unqualified          0.8  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.4  Unqualified          0.8  Unqualified  Unqualified          0.9  Unqualified
 candidate61  Unqualified  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3          0.9          0.6  Unqualified          0.6  Unqualified  Unqualified          0.3          0.7  Unqualified            0          0.7          0.5          0.2  Unqualified  Unqualified          0.1          0.2            0  Unqualified          0.7
 candidate62  Unqualified          0.8          0.1  Unqualified  Unqualified            0          0.3  Unqualified  Unqualified  Unqualified          0.8  Unqualified          0.1  Unqualified          0.5          0.2  Unqualified          0.4          0.9  Unqualified  Unqualified  Unqualified  Unqualified          0.6            0  Unqualified  Unqualified          0.8  Unqualified  Unqualified
 candidate63  Unqualified          0.6  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9            1          0.6  Unqualified            1            1  Unqualified            1  Unqualified          0.1          0.5  Unqualified  Unqualified          0.7          0.4          0.5  Unqualified          0.4  Unqualified  Unqualified          0.4          0.2  Unqualified
 candidate64          0.7          0.6  Unqualified          0.8  Unqualified          0.1  Unqualified          0.4  Unqualified          0.4          0.5          0.8  Unqualified          0.1          0.8  Unqualified  Unqualified  Unqualified          0.5  Unqualified  Unqualified            0          0.5          0.8  Unqualified          0.9          0.4          0.7  Unqualified          0.8
 candidate65  Unqualified          0.6  Unqualified  Unqualified          0.9  Unqualified            0  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.3          0.4          0.3  Unqualified  Unqualified            0  Unqualified          0.2  Unqualified
 candidate66          0.6          0.8          0.2  Unqualified          0.7  Unqualified  Unqualified  Unqualified            0          0.2  Unqualified  Unqualified          0.5          0.3  Unqualified          0.2  Unqualified          0.2          0.5          0.2          0.9          0.3  Unqualified          0.8          0.4  Unqualified  Unqualified            0  Unqualified          0.5
 candidate67  Unqualified  Unqualified          0.3          0.8  Unqualified  Unqualified  Unqualified          0.4          0.4            0  Unqualified          0.4  Unqualified          0.6  Unqualified  Unqualified            0          0.5  Unqualified          0.9  Unqualified  Unqualified          0.7  Unqualified  Unqualified  Unqualified          0.5  Unqualified          0.9  Unqualified
 candidate68  Unqualified  Unqualified          0.4          0.2  Unqualified          0.2          0.5          0.5  Unqualified  Unqualified  Unqualified          0.5          0.1  Unqualified  Unqualified          0.6  Unqualified          0.2          0.1  Unqualified            1  Unqualified  Unqualified  Unqualified  Unqualified          0.1            1  Unqualified            1          0.1
 candidate69          0.2  Unqualified            0          0.4            0          0.6  Unqualified  Unqualified  Unqualified          0.5          0.3  Unqualified  Unqualified          0.1          0.5          0.8  Unqualified  Unqualified  Unqualified          0.9  Unqualified          0.4          0.9          0.1            0  Unqualified  Unqualified  Unqualified          0.3          0.9
 candidate70  Unqualified  Unqualified          0.7  Unqualified          0.7  Unqualified          0.5          0.3          0.3          0.2  Unqualified  Unqualified  Unqualified  Unqualified            0          0.7          0.9  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified          0.6  Unqualified          0.7  Unqualified          0.2
 candidate71  Unqualified  Unqualified          0.6            0          0.7  Unqualified          0.2          0.7          0.1          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.2  Unqualified  Unqualified  Unqualified          0.7  Unqualified  Unqualified          0.1          0.4          0.2          0.4  Unqualified          0.5  Unqualified  Unqualified            1
 candidate72          0.2          0.8          0.6  Unqualified  Unqualified  Unqualified          0.3          0.2  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.9          0.6  Unqualified  Unqualified          0.8          0.8  Unqualified          0.5  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified            0
 candidate73          0.5          0.1          0.3  Unqualified  Unqualified          0.7          0.9          0.4          0.2  Unqualified          0.9          0.6  Unqualified          0.1          0.8          0.7          0.9  Unqualified            0          0.7          0.2          0.1  Unqualified          0.3  Unqualified          0.2  Unqualified          0.7          0.8  Unqualified
 candidate74          0.4  Unqualified  Unqualified  Unqualified          0.6          0.6  Unqualified          0.1  Unqualified          0.5          0.8  Unqualified  Unqualified  Unqualified          0.6            1          0.7          0.9          0.2  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified          0.5          0.4          0.7          0.5  Unqualified
 candidate75  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.3          0.3  Unqualified  Unqualified  Unqualified            0          0.7  Unqualified  Unqualified          0.5            0  Unqualified  Unqualified  Unqualified          0.6  Unqualified          0.8          0.8          0.4          0.2            0  Unqualified          0.4
 candidate76          0.5  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified            0            0            0  Unqualified          0.4          0.1  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.3  Unqualified  Unqualified          0.2          0.8          0.5  Unqualified  Unqualified  Unqualified  Unqualified
 candidate77  Unqualified  Unqualified            0          0.8          0.6  Unqualified          0.6          0.3  Unqualified          0.6  Unqualified          0.1  Unqualified  Unqualified  Unqualified          0.3  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified          0.3  Unqualified          0.4  Unqualified
 candidate78            1          0.2          0.2  Unqualified  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.3  Unqualified          0.6  Unqualified  Unqualified          0.7          0.3  Unqualified          0.4          0.4  Unqualified            1  Unqualified  Unqualified          0.3          0.4          0.2  Unqualified          0.2          0.5  Unqualified
 candidate79  Unqualified  Unqualified  Unqualified  Unqualified          0.5          0.5  Unqualified  Unqualified          0.9  Unqualified          0.6          0.4  Unqualified  Unqualified          0.8          0.8          0.9          0.4          0.9  Unqualified  Unqualified          0.4          0.4  Unqualified  Unqualified          0.6          0.1  Unqualified  Unqualified  Unqualified
 candidate80  Unqualified          0.2          0.9          0.6            0  Unqualified  Unqualified          0.8          0.8          0.6          0.7          0.1          0.6  Unqualified          0.5          0.8          0.8          0.4  Unqualified            1          0.7          0.4  Unqualified          0.2  Unqualified  Unqualified          0.4          0.5  Unqualified  Unqualified
 candidate81  Unqualified          0.7  Unqualified          0.5  Unqualified  Unqualified          0.7  Unqualified          0.5  Unqualified          0.6  Unqualified  Unqualified  Unqualified          0.4  Unqualified  Unqualified          0.1  Unqualified  Unqualified          0.6  Unqualified          0.2          0.1          0.7  Unqualified  Unqualified          0.3            0          0.9
 candidate82          0.1          0.4          0.3          0.6  Unqualified  Unqualified          0.2  Unqualified          0.4          0.6          0.3          0.3          0.5  Unqualified          0.3          0.6          0.6  Unqualified          0.6  Unqualified          0.9          0.7          0.9          0.2  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.7
 candidate83          0.8  Unqualified            1  Unqualified          0.5          0.1  Unqualified            1  Unqualified          0.5            1  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.3  Unqualified  Unqualified  Unqualified          0.2          0.5          0.9  Unqualified          0.9  Unqualified  Unqualified  Unqualified          0.2          0.7
 candidate84  Unqualified  Unqualified          0.4  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.4          0.5          0.1  Unqualified          0.6          0.1            0          0.4          0.3  Unqualified          0.1          0.9  Unqualified          0.6  Unqualified  Unqualified  Unqualified
 candidate85  Unqualified  Unqualified          0.9  Unqualified          0.7          0.5          0.7          0.5  Unqualified          0.4  Unqualified          0.8  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.9          0.6          0.4  Unqualified          0.9          0.7  Unqualified  Unqualified          0.6  Unqualified  Unqualified          0.3          0.7
 candidate86  Unqualified          0.3          0.3          0.2          0.4            0  Unqualified          0.7  Unqualified  Unqualified          0.3          0.1          0.9          0.4  Unqualified  Unqualified          0.4          0.2          0.3  Unqualified  Unqualified          0.1  Unqualified          0.7          0.2  Unqualified  Unqualified          0.2  Unqualified          0.5
 candidate87  Unqualified  Unqualified  Unqualified            1          0.5          0.1          0.4  Unqualified  Unqualified          0.2          0.6  Unqualified          0.1  Unqualified          0.7  Unqualified  Unqualified          0.1          0.9  Unqualified  Unqualified  Unqualified          0.9  Unqualified  Unqualified          0.5  Unqualified  Unqualified  Unqualified          0.4
 candidate88          0.2  Unqualified  Unqualified          0.2  Unqualified          0.8          0.4          0.4  Unqualified          0.4          0.7  Unqualified  Unqualified            0          0.1  Unqualified          0.9  Unqualified          0.5          0.1          0.3  Unqualified  Unqualified  Unqualified  Unqualified  Unqualified          0.8          0.8  Unqualified  Unqualified
 candidate89          0.3          0.8          0.2          0.5          0.2  Unqualified  Unqualified          0.4  Unqualified          0.4  Unqualified          0.4          0.6          0.8          0.7  Unqualified  Unqualified  Unqualified  Unqualified          0.7  Unqualified            0  Unqualified  Unqualified          0.4          0.1  Unqualified          0.5          0.1            0
